area,deal_date,district,housing_estate,total_price,unit_price
98.08,2020.10.12,嘉定,中信泰富又一城,421,42925
89.81,2020.10.12,嘉定,中星海上名豪苑(四期),423,47100
78.17,2020.10.12,嘉定,金沙鼎苑,290,37099
80.68,2020.10.12,嘉定,阳光城新界,314,38870
85.12,2020.10.11,嘉定,万达城市公寓,435,51105
69.04,2020.10.11,嘉定,森林公馆,309,44685
45.29,2020.10.11,嘉定,李园二村,137,30206
86.03,2020.10.11,嘉定,首创旭辉城,222,25805
67.48,2020.10.11,嘉定,李园二村,186,27490
75.42,2020.10.11,嘉定,水岸金桥苑,310,41104
57,2020.10.11,嘉定,水岸金桥苑,242,42457
101.08,2020.10.11,嘉定,绿地清猗园(威廉公馆三期),523,51742
71.73,2020.10.11,嘉定,富友嘉园,275,38339
82.64,2020.10.11,嘉定,水岸秀苑,336,40598
66.96,2020.10.11,嘉定,嘉富小区,172,25687
85.68,2020.10.11,嘉定,旭辉华庭（住宅）,364,42414
145.46,2020.10.11,嘉定,铂金府,630,43311
254.87,2020.10.11,嘉定,湖畔天下(别墅),970,38059
42.09,2020.10.14,静安,万荣小区,202,47874
87.62,2020.10.14,静安,明园森林都市,760,86739
71,2020.10.14,黄浦,驰骋大楼,840,118310
97.24,2020.10.14,黄浦,浩城华苑,913,93892
77.43,2020.10.14,静安,安源小区,493,63671
,2020.10.14,静安,歌林春天馨园,75,21639
57.38,2020.10.14,静安,中海万锦城(四期),369,64309
73.72,2020.10.14,静安,景峰苑,425,57651
80.24,2020.10.14,静安,粤秀名邸,555,69168
84.16,2020.10.14,黄浦,新华南园大厦,662,78660
83.14,2020.10.14,黄浦,中福城,832,100073
29.16,2020.10.13,黄浦,振华里小区,392,134431
33.18,2020.10.13,黄浦,瑞金南路63弄,326,98102
178.84,2020.10.13,黄浦,太阳都市花园二期,1406,78618
88.04,2020.10.14,青浦,中建锦绣天地,500,56793
50.58,2020.10.13,青浦,崧泽华城秀景苑,184,36339
40.94,2020.10.13,静安,保德路425弄,185,45189
44.84,2020.10.13,静安,共康三村,235,52409
70.56,2020.10.13,静安,共康四村,300,42518
113.92,2020.10.13,静安,新梅共和城,1010,88659
32.6,2020.10.13,静安,四和花园,472,144786
44.66,2020.10.13,黄浦,瞿溪新村,120,26870
81.95,2020.10.13,黄浦,大众汽车公寓,767,93594
157.21,2020.10.12,黄浦,士林华苑,1530,97323
50.67,2020.10.12,黄浦,重建小区,480,94731
70,2020.10.13,青浦,宜达新居,245,35000
80.32,2020.10.13,青浦,崧泽华城秀景苑,280,34799
73.05,2020.10.13,青浦,春江三月公寓二期,216,29569
49.27,2020.10.13,青浦,海棠馨苑南区,182,36940
72,2020.10.13,青浦,徐泾北城欣沁苑西区,246,34098
65.63,2020.10.14,奉贤,绿地香颂(奉贤)(公寓),78,11809
92.18,2020.10.13,静安,锦佳苑,705,76481
50.69,2020.10.13,静安,洛川中路1100弄,308,60762
101.77,2020.10.13,静安,广茂苑,540,53061
129.89,2020.10.12,静安,静安阳光名都,1340,103165
44.02,2020.10.12,静安,上海壹街区,516,117220
102.01,2020.10.12,静安,临汾花园,559,54799
65.2,2020.10.12,黄浦,制造局路729-735号,429,65798
55.85,2020.10.12,黄浦,牌楼路31弄,453,81111
73.51,2020.10.12,黄浦,华润外滩九里,900,122433
138.38,2020.10.12,黄浦,绿地海珀黄浦,1975,142723
112.35,2020.10.12,黄浦,海洲国际华园,1040,92568
53.92,2020.10.13,青浦,城东新村一村,162,29952
124,2020.10.13,青浦,上海捷克住宅小区(公寓),402,32420
74.93,2020.10.12,青浦,新丰公寓,200,26692
88.9,2020.10.12,青浦,河畔家苑,315,35344
73.8,2020.10.11,青浦,民乐佳苑二区,227,30759
56.71,2020.10.11,青浦,崧泽华城佳福雅苑（四区）,159,27932
62.37,2020.10.13,奉贤,绿地香颂(奉贤)(公寓),95,15232
133.82,2020.10.13,奉贤,水岸家苑,270,20177
82.37,2020.10.13,奉贤,江海新村,140,16997
123.9,2020.10.13,奉贤,新南家园,370,29863
113.02,2020.10.13,奉贤,新南家园,245,21678
67.75,2020.10.13,奉贤,鸿宝一村(北区),158,23322
78.02,2020.10.12,奉贤,阳光四季园,199,25507
76.73,2020.10.12,静安,紫兰苑,615,80152
119.75,2020.10.12,静安,嘉茵苑,747,62380
99.21,2020.10.12,静安,绿洲雅宾利花园(一期),910,91725
78.28,2020.10.12,静安,高荣小区,528,67451
31.22,2020.10.12,静安,洛川中路1100弄,248,79277
87.28,2020.10.12,静安,广盛苑,565,64735
34.83,2020.10.12,黄浦,瞿溪路904弄,295,84698
66.13,2020.10.12,黄浦,海潮公寓,510,77121
154.68,2020.10.12,黄浦,卢湾都市花园,1230,79520
51.98,2020.10.11,黄浦,局门路160-162号,445,85610
206.38,2020.10.11,黄浦,露香园,2600,125982
56,2020.10.11,黄浦,蒙自新村,449,80179
73.47,2020.10.11,青浦,民乐佳苑二区,224,30489
88.5,2020.10.11,青浦,新城盛景园,367,41447
78.07,2020.10.11,青浦,崧泽华城佳福雅苑（六区）,202,25875
134.66,2020.10.11,青浦,宜达新居,390,28962
36.39,2020.10.11,青浦,城东新村（三区）,125,34351
77.85,2020.10.11,青浦,崧泽华城佳福雅苑（五区）,217,27875
420,2020.10.12,奉贤,绿地香颂(奉贤)(别墅),455,10834
